porr,ym,uts,fstrain,fym
47.9495,2900,73,12.3,291.8681
56.7738,2900,73,12.3,257.0817
61.2289,2900,73,12.3,215.011
64.6604,2900,73,12.3,179.1222
66.8839,2900,73,12.3,139.4053
74.9998,2900,73,12.3,82.5571
48.707,2900,73,12.3,298.0797
50.1729,2900,73,12.3,287.0571
56.0736,2900,73,12.3,250.7908
54.7468,2900,73,12.3,267.5179
60.496,2900,73,12.3,227.8436
60.3813,2900,73,12.3,232.7574
64.341,2900,73,12.3,181.5059
60.5246,2900,73,12.3,170.2902
69.5209,2900,73,12.3,144.9067
68.4481,2900,73,12.3,147.9916
73.2964,2900,73,12.3,90.8232
74.4142,2900,73,12.3,88.7194
77.9112,2900,73,12.3,61.2494
77.5058,2900,73,12.3,57.8731
76.5149,2900,73,12.3,54.2925
48.6554,2080,52,12,227.0254
52.176,2080,52,12,209.8464
58.4636,2080,52,12,180.1318
62.5731,2080,52,12,149.7825
66.9294,2080,52,12,118.7963
73.0568,2080,52,12,84.2181
78.2315,2080,52,12,61.0032
44.5349,2080,52,12,208.9045
45.3978,2080,52,12,222.1336
50.5623,2080,52,12,205.4447
51.2344,2080,52,12,214.1216
55.0156,2080,52,12,180.3295
55.6834,2080,52,12,178.5562
56.8325,2080,52,12,164.0099
58.5974,2080,52,12,159.1264
63.6274,2080,52,12,130.5197
64.2605,2080,52,12,123.5819
70.1578,2080,52,12,95.6351
70.5524,2080,52,12,89.9306
74.4507,2080,52,12,62.1644
74.6936,2080,52,12,61.8022
47.0562,2300,52,4,160.5017
47.1123,2300,52,4,150.2013
48.0919,2300,52,4,173.2676
51.3155,2300,52,4,133.4142
52.9553,2300,52,4,144.3561
53.1711,2300,52,4,136.8009
57.029,2300,52,4,119.8051
57.1067,2300,52,4,119.8693
57.1196,2300,52,4,119.0936
62.5138,2300,52,4,102.1577
63.0792,2300,52,4,97.3293
63.2604,2300,52,4,101.0121
65.828,2300,52,4,86.6209
66.2251,2300,52,4,89.3068
66.8465,2300,52,4,86.0639
70.8468,2300,52,4,68.012
70.8943,2300,52,4,72.0647
71.7358,2300,52,4,55.4692
75.516,2300,52,4,55.8539
75.7922,2300,52,4,53.4392
76.1029,2300,52,4,55.0654
